Date,Open,High,Low,Close,Adj Close,Volume
2022-12-16,0.084722,0.086731,0.075388,0.075942,0.075942,699338853
2022-12-17,0.075944,0.079375,0.075893,0.079267,0.079267,495547979
2022-12-18,0.079262,0.079865,0.077920,0.078641,0.078641,256971055
2022-12-19,0.078648,0.079342,0.070913,0.071429,0.071429,581773249
2022-12-20,0.071442,0.075247,0.071422,0.074935,0.074935,438099132
2022-12-21,0.074932,0.074964,0.072010,0.073679,0.073679,349830700
2022-12-22,0.073678,0.077362,0.073391,0.076967,0.076967,593083646
2022-12-23,0.076961,0.078638,0.076742,0.077129,0.077129,398842519
2022-12-24,0.077128,0.077976,0.076818,0.077648,0.077648,165055617
2022-12-25,0.077632,0.077644,0.074229,0.075952,0.075952,423876257
2022-12-26,0.075965,0.076361,0.074772,0.075783,0.075783,248935710
2022-12-27,0.075763,0.076022,0.073131,0.073724,0.073724,290428818
2022-12-28,0.073727,0.073821,0.070052,0.070381,0.070381,496350491
2022-12-29,0.070380,0.071302,0.069771,0.071042,0.071042,285144119
2022-12-30,0.071032,0.071308,0.066953,0.068404,0.068404,419889739
2022-12-31,0.068394,0.071109,0.068162,0.070294,0.070294,289371049
2023-01-01,0.070287,0.070685,0.069289,0.070225,0.070225,185279750
2023-01-02,0.070225,0.072479,0.069358,0.071454,0.071454,405800240
2023-01-03,0.071456,0.072197,0.069774,0.070468,0.070468,283398864
2023-01-04,0.070468,0.073250,0.070310,0.073237,0.073237,343264145
2023-01-05,0.073233,0.075027,0.071400,0.071550,0.071550,424927580
2023-01-06,0.071555,0.072570,0.070344,0.072470,0.072470,306914647
2023-01-07,0.072469,0.072844,0.071876,0.072222,0.072222,173703551
2023-01-08,0.072210,0.073612,0.071546,0.073601,0.073601,246133445
2023-01-09,0.073592,0.079211,0.073258,0.075784,0.075784,853703837
2023-01-10,0.075769,0.077731,0.074690,0.077729,0.077729,492952309
2023-01-11,0.077734,0.078181,0.075178,0.078153,0.078153,394318759
2023-01-12,0.079214,0.080717,0.076988,0.080286,0.080286,706796194
2023-01-13,0.080284,0.084916,0.079184,0.084438,0.084438,575039277
2023-01-14,0.084439,0.091870,0.084362,0.087323,0.087323,1101070507
2023-01-15,0.087334,0.087686,0.083130,0.086131,0.086131,501123418
2023-01-16,0.086127,0.087904,0.082308,0.083636,0.083636,537067710
2023-01-17,0.083652,0.084720,0.082756,0.082982,0.082982,366437449
2023-01-18,0.082978,0.089458,0.080174,0.080191,0.080191,1094371447
2023-01-19,0.080171,0.082052,0.080132,0.081660,0.081660,337970684
2023-01-20,0.081649,0.086760,0.080767,0.086403,0.086403,444441989
2023-01-21,0.086408,0.088706,0.084761,0.084765,0.084765,716057148
2023-01-22,0.084771,0.092892,0.084771,0.088304,0.088304,794717541
2023-01-23,0.088310,0.091150,0.087327,0.088605,0.088605,661273714
2023-01-24,0.088577,0.090592,0.083660,0.083950,0.083950,559881331
2023-01-25,0.083966,0.087880,0.082446,0.086594,0.086594,542521010
2023-01-26,0.086569,0.087358,0.085549,0.086373,0.086373,424196515
2023-01-27,0.086365,0.087746,0.084525,0.087123,0.087123,400056534
2023-01-28,0.087124,0.092969,0.087124,0.087788,0.087788,642333816
2023-01-29,0.087783,0.090859,0.087544,0.090233,0.090233,458157342
2023-01-30,0.090221,0.091837,0.085399,0.088337,0.088337,787132771
2023-01-31,0.088329,0.097335,0.088329,0.096167,0.096167,1542889216
2023-02-01,0.096157,0.096599,0.088752,0.094171,0.094171,1110308356
2023-02-02,0.094145,0.095753,0.090957,0.090979,0.090979,776556390
2023-02-03,0.090984,0.093209,0.090667,0.092987,0.092987,548668917
2023-02-04,0.092975,0.099530,0.092663,0.095782,0.095782,1071858301
2023-02-05,0.095747,0.096726,0.090966,0.092095,0.092095,753364305
2023-02-06,0.092104,0.093097,0.089062,0.089549,0.089549,488311044
2023-02-07,0.089537,0.092634,0.089518,0.092576,0.092576,512569389
2023-02-08,0.092564,0.093138,0.089169,0.090156,0.090156,462925887
2023-02-09,0.090163,0.090758,0.080172,0.081480,0.081480,819008026
2023-02-10,0.081479,0.082880,0.080415,0.081090,0.081090,516764147
2023-02-11,0.081066,0.082514,0.080788,0.082372,0.082372,244141279
2023-02-12,0.082355,0.085419,0.081742,0.082144,0.082144,448723137
2023-02-13,0.082144,0.086205,0.079978,0.082156,0.082156,752090969
2023-02-14,0.082143,0.083648,0.081273,0.083534,0.083534,427664094
2023-02-15,0.083535,0.089355,0.082832,0.089291,0.089291,846713153
2023-02-16,0.089281,0.091262,0.084966,0.085044,0.085044,849757697
2023-02-17,0.085055,0.088411,0.084707,0.087766,0.087766,447263733
2023-02-18,0.087759,0.089822,0.086974,0.088927,0.088927,397918582
2023-02-19,0.088926,0.089738,0.086286,0.086966,0.086966,505191212
2023-02-20,0.086994,0.088627,0.085853,0.088208,0.088208,449906814
2023-02-21,0.088223,0.088707,0.084845,0.085413,0.085413,483249308
2023-02-22,0.085418,0.087464,0.083253,0.085534,0.085534,765182582
2023-02-23,0.085535,0.086369,0.083932,0.084292,0.084292,351385340
2023-02-24,0.084288,0.084900,0.079889,0.080900,0.080900,449138535
2023-02-25,0.080915,0.081779,0.079058,0.080786,0.080786,316321963
2023-02-26,0.080776,0.082473,0.080577,0.082202,0.082202,218231642
2023-02-27,0.082202,0.082202,0.080204,0.081354,0.081354,267030813
2023-02-28,0.081359,0.082735,0.080200,0.080749,0.080749,370709700
2023-03-01,0.080762,0.082564,0.080545,0.081964,0.081964,260501052
2023-03-02,0.081968,0.082167,0.079859,0.080520,0.080520,225493749
2023-03-03,0.080525,0.080572,0.074235,0.076777,0.076777,564252293
2023-03-04,0.076778,0.077155,0.073100,0.074556,0.074556,267382234
2023-03-05,0.074565,0.075917,0.074415,0.074795,0.074795,215772335
2023-03-06,0.074790,0.075061,0.073552,0.074805,0.074805,274994083
2023-03-07,0.074805,0.075830,0.073030,0.074048,0.074048,309277502
2023-03-08,0.074048,0.074235,0.070767,0.071130,0.071130,321627782
2023-03-09,0.071132,0.072203,0.064628,0.065987,0.065987,523758954
2023-03-10,0.065996,0.066071,0.063023,0.065833,0.065833,475760293
2023-03-11,0.065833,0.068196,0.064447,0.066594,0.066594,449044632
2023-03-12,0.066582,0.071250,0.066069,0.071001,0.071001,375272678
